kind,step,epoch,train_loss,val_loss,act_loss,fa_loss,lr,wall_time_s
train_log,50,0,0.9646169662475585,,0.9646169662475585,0.0,7.5e-05,3.064
train_log,50,0,0.9277783250808715,,0.9277783250808715,0.0,7.5e-05,8.439
train_log,50,0,0.928825968503952,,0.928825968503952,0.0,7.5e-05,17.87
train_log,50,0,0.9288289093971253,,0.9288289093971253,0.0,7.5e-05,15.408
train_log,100,0,0.8359225380420685,,0.8359225380420685,0.0,0.00015,5.722
train_log,100,0,0.8338149917125702,,0.8338149917125702,0.0,0.00015,13.723
train_log,100,0,0.8225054955482483,,0.8225054955482483,0.0,0.00015,28.854
train_log,100,0,0.8227431166172028,,0.8227431166172028,0.0,0.00015,34.215
train_log,150,0,0.8303870379924774,,0.8303870379924774,0.0,0.000225,8.497
train_log,150,0,0.7685266149044037,,0.7685266149044037,0.0,0.000225,19.28
train_log,150,0,0.7610283994674683,,0.7610283994674683,0.0,0.000225,43.033
train_log,150,0,0.760834127664566,,0.760834127664566,0.0,0.000225,46.387
train_log,200,0,0.7811087656021118,,0.7811087656021118,0.0,0.0003,11.237
train_log,200,0,0.681259959936142,,0.681259959936142,0.0,0.0003,25.053
train_log,200,0,0.6631425642967224,,0.6631425642967224,0.0,0.0003,56.763
train_log,200,0,0.6562201523780823,,0.6562201523780823,0.0,0.0003,58.408
train_log,250,0,0.7472188144922256,,0.7472188144922256,0.0,0.00029999957530089374,13.941
train_log,250,0,0.6229990100860596,,0.6229990100860596,0.0,0.00029999306054603116,30.649
train_log,250,0,0.5887131261825561,,0.5887131261825561,0.0,0.00029997144412471086,71.274
train_log,250,0,0.594070918560028,,0.594070918560028,0.0,0.00029997144412471086,71.486
train_log,300,0,0.7285878980159759,,0.7285878980159759,0.0,0.0002999983012059801,16.823
train_log,300,0,0.5620596820116043,,0.5620596820116043,0.0,0.0002999722428262051,37.881
train_log,300,1,0.535653475522995,,0.535653475522995,0.0,0.00029988578737135047,103.319
train_log,300,1,0.5445779728889465,,0.5445779728889465,0.0,0.00029988578737135047,102.292
train_log,350,0,0.66290108025074,,0.66290108025074,0.0,0.00029999617772247364,19.539
train_log,350,0,0.5310075843334198,,0.5310075843334198,0.0,0.00029993754876670315,43.521
train_log,350,1,0.5206997418403625,,0.5206997418403625,0.0,0.0002997430623532996,117.439
train_log,350,1,0.5165333592891693,,0.5165333592891693,0.0,0.0002997430623532996,116.898
train_log,400,0,0.6177308911085129,,0.6177308911085129,0.0,0.000299993204862399,22.447
train_log,400,0,0.5254676157236099,,0.5254676157236099,0.0,0.0002998889815776297,50.392
train_log,400,1,0.48135035157203676,,0.48135035157203676,0.0,0.0002995433234123958,132.5
train_log,400,1,0.4765306198596954,,0.4765306198596954,0.0,0.0002995433234123958,131.034
train_log,450,0,0.5866772830486298,,0.5866772830486298,0.0,0.00029998938264259043,25.192
train_log,450,0,0.4993265074491501,,0.4993265074491501,0.0,0.0002998265457527152,55.954
train_log,450,1,0.4660810852050781,,0.4660810852050781,0.0,0.000299286646598243,149.042
